internship_id,student_id,final_score,reservation,rural,gender
I001,S00161,0.8221487122102532,SC,1,M
I001,S00966,0.8370914825279473,ST,1,F
I001,S01393,0.8271177053151975,OBC,0,M
I001,S00699,0.7970658704635728,OBC,0,M
I001,S00971,0.7940595273146345,OBC,1,M
I001,S01302,0.8844597691885374,GEN,1,M
I001,S00060,0.8679833697828365,GEN,1,F
I001,S01453,0.8397345628431327,GEN,1,F
I001,S00748,0.8348374250997009,GEN,0,O
I001,S00769,0.8264069115203845,GEN,0,F
I002,S01886,0.8682418808227697,SC,1,F
I002,S01316,0.7029056115046098,ST,0,F
I002,S01585,0.8896193875017312,OBC,0,M
I002,S01815,0.7852778187942908,OBC,0,O
I002,S01391,0.8822510381979681,GEN,1,F
I002,S01142,0.870583105105886,GEN,0,O
I002,S01034,0.8625370292701421,GEN,0,F
I002,S00810,0.8415959840214338,GEN,1,F
I003,S00573,0.7371642351318425,SC,1,F
I003,S01248,0.7014776085493353,ST,0,F
I003,S01958,0.7763589844735532,OBC,0,F
I003,S00237,0.7562206982473312,OBC,0,F
I003,S01265,0.7161350527502058,OBC,1,M
I003,S00550,0.8384896602561211,GEN,0,O
I003,S00646,0.7787854144873991,GEN,0,M
I003,S01388,0.7761622317101098,GEN,1,O
I003,S00810,0.7670385205685094,GEN,1,F
I003,S01901,0.7566067956780121,GEN,0,M
I004,S01284,0.9193623804591952,SC,1,F
I004,S00284,0.7854924576049328,ST,0,M
I004,S01549,0.9027656308978649,OBC,1,M
I004,S00600,0.8496306654594287,OBC,0,M
I004,S01034,0.953125787637409,GEN,0,F
I004,S01058,0.9427643731712269,GEN,0,M
I004,S01302,0.9226240140534924,GEN,1,M
I004,S01674,0.9213107794143947,GEN,1,M
I004,S00918,0.9206117183830492,GEN,1,F
I005,S01687,0.9197540992217405,ST,0,M
I005,S01958,0.9414643345820065,OBC,0,F
I005,S01384,0.9507410775082008,GEN,0,F
I005,S01296,0.9150734484716945,GEN,1,F
I006,S00539,0.9379728025676828,SC,1,M
I006,S00683,0.7607960363386522,ST,0,M
I006,S01549,0.8802794075197274,OBC,1,M
I006,S00103,0.8250344674500005,OBC,0,F
I006,S01034,0.9458282786266222,GEN,0,F
I006,S01058,0.9284576345957483,GEN,0,M
I006,S01159,0.8914142166858243,GEN,1,M
I007,S00161,0.8097575349419391,SC,1,M
I007,S01955,0.8366196337066284,ST,1,F
I007,S01393,0.8384316662158616,OBC,0,M
I007,S00664,0.7772607918977398,OBC,1,M
I007,S00718,0.848209530522291,GEN,1,M
I007,S01302,0.8435517057039917,GEN,1,M
I008,S01383,0.9432796985419021,SC,0,M
I008,S01248,0.878815877839781,ST,0,F
I008,S01958,0.9571217110285468,OBC,0,F
I008,S00038,0.9483043373365492,OBC,0,M
I008,S00518,0.9805742632161533,GEN,0,M
I008,S01142,0.9526380850326399,GEN,0,O
I008,S01159,0.9477857049491858,GEN,1,M
I008,S01388,0.9475074377224242,GEN,1,O
I009,S00424,0.8015865560887682,SC,1,F
I009,S00385,0.7368791175181342,ST,1,M
I009,S00920,0.8291136086467937,OBC,1,F
I009,S00479,0.8240389843457097,OBC,0,M
I009,S00281,0.8201165808615039,GEN,0,M
I009,S00617,0.8108106787088979,OBC,0,M
I010,S01659,0.9856221456831905,SC,0,F
I010,S00459,0.9861050573084215,OBC,0,F
I010,S01586,0.992760819426173,GEN,0,F
I010,S01886,0.9737692260922941,SC,1,F
I011,S01660,0.9624906242159325,SC,1,M
I011,S00385,0.9584989934671843,ST,1,M
I011,S00901,0.9704547116050547,OBC,0,F
I011,S01958,0.9633113312478291,OBC,0,F
I011,S00518,0.9826826851632109,GEN,0,M
I011,S00587,0.9825429396614074,GEN,0,F
I011,S01538,0.9822607429189882,GEN,0,F
I011,S00304,0.9796932741938441,GEN,1,M
I011,S00433,0.9761490995216279,GEN,1,M
I011,S00091,0.9728329338492351,GEN,0,M
I012,S00105,0.9545993783716374,ST,0,F
I012,S00459,0.9589138258216586,OBC,0,F
I012,S01958,0.9454214484488629,OBC,0,F
I012,S01272,0.9635326337799388,GEN,0,F
I012,S01586,0.9614363404272519,GEN,0,F
I012,S00414,0.9550060356298775,GEN,0,F
I012,S01169,0.9314902414094347,GEN,1,M
I013,S00295,0.9316753168347937,SC,0,F
I013,S00385,0.8967591532497542,ST,1,M
I013,S00459,0.9679181950596213,OBC,0,F
I013,S00901,0.9409721721486828,OBC,0,F
I013,S01586,0.9712870482200939,GEN,0,F
I013,S00518,0.9633160336262482,GEN,0,M
I013,S01538,0.9546825139302182,GEN,0,F
I013,S00587,0.9518797183169211,GEN,0,F
I014,S01284,0.9013250587160868,SC,1,F
I014,S00284,0.7683937712113841,ST,0,M
I014,S01549,0.9045750810175541,OBC,1,M
I014,S01034,0.9546710951477202,GEN,0,F
I014,S01058,0.9345254638797171,GEN,0,M
I014,S01266,0.9139539640451901,GEN,1,M
I015,S00885,0.9005822940614937,SC,1,M
I015,S00994,0.8387281128673993,ST,0,F
I015,S01585,0.9275087828965058,OBC,0,M
I015,S00699,0.8267089438893562,OBC,0,M
I015,S01034,0.917831542581505,GEN,0,F
I015,S00926,0.9056015188725872,GEN,0,F
I015,S01302,0.9017357549454131,GEN,1,M
I015,S01058,0.8608356156516961,GEN,0,M
I016,S01886,0.9536179033145484,SC,1,F
I016,S01248,0.9181504159047499,ST,0,F
I016,S01958,0.9697522759452835,OBC,0,F
I016,S00038,0.9574363285551888,OBC,0,M
I016,S01225,0.9278532667362941,OBC,0,M
I016,S00518,0.9864624931643843,GEN,0,M
I016,S01388,0.9563119896951151,GEN,1,O
I016,S01011,0.9490937379563801,GEN,1,M
I016,S00662,0.9480925256162197,GEN,1,F
I017,S01383,0.9628360582608889,SC,0,M
I017,S01958,0.9737811271362952,OBC,0,F
I017,S00032,0.9619850059782694,OBC,0,F
I017,S01884,0.9585853127385362,OBC,0,F
I017,S00518,0.9808026746358404,GEN,0,M
I017,S00495,0.973773053277751,GEN,0,F
I017,S01586,0.9697024136574423,GEN,0,F
I017,S00435,0.9667896994715758,GEN,0,F
I017,S00671,0.9641359287491107,GEN,0,F
I017,S00220,0.9631839769600101,GEN,0,F
I017,S01391,0.9596773468369537,GEN,1,F
I018,S00573,0.7383957672676399,SC,1,F
I018,S01248,0.8512283177118071,ST,0,F
I018,S01958,0.8848391502342776,OBC,0,F
I018,S01265,0.7843140611309489,OBC,1,M
I018,S01296,0.8647584763127478,GEN,1,F
I018,S01388,0.8535721339396709,GEN,1,O
I018,S00810,0.8469655440840834,GEN,1,F
I018,S01901,0.8199483423712941,GEN,0,M
I019,S00716,0.769167940640163,SC,0,M
I019,S01352,0.6962834822718281,ST,1,F
I019,S01958,0.7406762811450123,OBC,0,F
I019,S00484,0.7134963694752908,OBC,1,M
I019,S01388,0.8195502848066831,GEN,1,O
I019,S00550,0.7933484903182223,GEN,0,O
I019,S01901,0.7919796484958411,GEN,0,M
I020,S01803,0.831426720767675,SC,0,M
I020,S01585,0.7141783411275506,OBC,0,M
I020,S01142,0.8639318857592164,GEN,0,O
I020,S00888,0.8047411899012445,GEN,0,M
I020,S01391,0.7492625381584884,GEN,1,F
I021,S00161,0.6286811410361692,SC,1,M
I021,S01823,0.5550651462278611,ST,1,M
I021,S00565,0.6696592213514814,OBC,0,F
I021,S01951,0.5762024760814711,OBC,0,O
I021,S01655,0.5033326694174904,OBC,0,F
I021,S01674,0.6783835449125164,GEN,1,M
I021,S01302,0.6677631066154122,GEN,1,M
I021,S01058,0.6186122236895721,GEN,0,M
I021,S00863,0.6114556382075331,GEN,0,F
I021,S00934,0.6006590091617104,GEN,0,M
I022,S01821,0.7763617151638416,SC,0,F
I022,S01687,0.7110652443312745,ST,0,M
I022,S00405,0.8091643470501304,OBC,0,F
I022,S01311,0.7897937794447305,OBC,0,M
I022,S00220,0.8390416625700303,GEN,0,F
I022,S01272,0.7957010148809581,GEN,0,F
I022,S01514,0.7830620774567751,OBC,1,F
I022,S00548,0.7804059318891309,OBC,0,F
I023,S01886,0.8842085018607903,SC,1,F
I023,S00355,0.6585737670738292,ST,0,M
I023,S01585,0.9091399345250543,OBC,0,M
I023,S00038,0.7930741032771474,OBC,0,M
I023,S01034,0.9299157555547302,GEN,0,F
I023,S01142,0.9044752834111816,GEN,0,O
I023,S00671,0.8985078965613501,GEN,0,F
I023,S01058,0.8971250248947369,GEN,0,M
I023,S01391,0.8914852765312463,GEN,1,F
I024,S01886,0.8318535560732313,SC,1,F
I024,S00994,0.7437442823043923,ST,0,F
I024,S01585,0.8181582708018065,OBC,0,M
